evaluation_date,city_name,data_points,mae,accuracy
2025-06-06,Buon Ma Thuot,90,0.5339523809523821,0.8571428571428571
2025-06-06,Hanoi,90,0.8249523809523835,0.8095238095238095
2025-06-06,Nha Trang,90,0.7290000000000009,0.9047619047619048
2025-06-06,Da Nang,90,0.8186666666666715,0.7142857142857143
2025-06-06,Ho Chi Minh City,90,0.48219047619047456,0.8095238095238095
2025-06-06,Ha Tinh,90,0.5755714285714338,0.9047619047619048
2025-06-06,Lang Son,90,0.8003333333333297,0.8571428571428571
2025-06-06,Lao Cai,90,0.6436666666666668,0.8095238095238095
2025-06-06,Haiphong,90,0.5574285714285655,0.9047619047619048
2025-06-06,Ca Mau,90,0.758714285714283,0.8571428571428571
